"","nc","delta1","delta2","pow","ess"
"1",66,0,0,0,49.9921146766669
"2",66,0,0.02,0,49.9931698475827
"3",66,0,0.04,0,49.816043278837
"4",66,0,0.06,0,48.9996964124049
"5",66,0,0.08,0,46.9854749278638
"6",66,0,0.1,0,43.4182811420884
"7",66,0,0.12,0,38.4115238344507
"8",66,0,0.14,0,32.561770030949
"9",66,0,0.16,0,26.650746902298
"10",66,0,0.18,0,21.2935887056711
"11",66,0,0.2,0,16.7909502097638
"12",66,0.02,0,0,49.9921146766669
"13",66,0.02,0.02,0,49.9931698475827
"14",66,0.02,0.04,0,49.816043278837
"15",66,0.02,0.06,0,48.9996964124049
"16",66,0.02,0.08,0,46.9854749278638
"17",66,0.02,0.1,0,43.4182811420884
"18",66,0.02,0.12,0,38.4115238344507
"19",66,0.02,0.14,0,32.561770030949
"20",66,0.02,0.16,0,26.650746902298
"21",66,0.02,0.18,0,21.2935887056711
"22",66,0.02,0.2,0,16.7909502097638
"23",66,0.04,0,0.4,49.9921146766669
"24",66,0.04,0.02,0.3,49.9931698475827
"25",66,0.04,0.04,0,49.816043278837
"26",66,0.04,0.06,0.1,48.9996964124049
"27",66,0.04,0.08,0,46.9854749278638
"28",66,0.04,0.1,0,43.4182811420884
"29",66,0.04,0.12,0,38.4115238344507
"30",66,0.04,0.14,0,32.561770030949
"31",66,0.04,0.16,0,26.650746902298
"32",66,0.04,0.18,0,21.2935887056711
"33",66,0.04,0.2,0,16.7909502097638
"34",66,0.06,0,1,49.9921146766669
"35",66,0.06,0.02,1,49.9931698475827
"36",66,0.06,0.04,0.9,49.816043278837
"37",66,0.06,0.06,0.8,48.9996964124049
"38",66,0.06,0.08,0.5,46.9854749278638
"39",66,0.06,0.1,0.4,43.4182811420884
"40",66,0.06,0.12,0.1,38.4115238344507
"41",66,0.06,0.14,0.1,32.561770030949
"42",66,0.06,0.16,0.1,26.650746902298
"43",66,0.06,0.18,0.1,21.2935887056711
"44",66,0.06,0.2,0.2,16.7909502097638
"45",66,0.08,0,1,49.9921146766669
"46",66,0.08,0.02,1,49.9931698475827
"47",66,0.08,0.04,1,49.816043278837
"48",66,0.08,0.06,1,48.9996964124049
"49",66,0.08,0.08,1,46.9854749278638
"50",66,0.08,0.1,1,43.4182811420884
"51",66,0.08,0.12,1,38.4115238344507
"52",66,0.08,0.14,1,32.561770030949
"53",66,0.08,0.16,1,26.650746902298
"54",66,0.08,0.18,1,21.2935887056711
"55",66,0.08,0.2,1,16.7909502097638
"56",66,0.1,0,1,49.9921146766669
"57",66,0.1,0.02,1,49.9931698475827
"58",66,0.1,0.04,1,49.816043278837
"59",66,0.1,0.06,1,48.9996964124049
"60",66,0.1,0.08,1,46.9854749278638
"61",66,0.1,0.1,1,43.4182811420884
"62",66,0.1,0.12,1,38.4115238344507
"63",66,0.1,0.14,1,32.561770030949
"64",66,0.1,0.16,1,26.650746902298
"65",66,0.1,0.18,1,21.2935887056711
"66",66,0.1,0.2,1,16.7909502097638
"67",66,0.12,0,1,49.9921146766669
"68",66,0.12,0.02,1,49.9931698475827
"69",66,0.12,0.04,1,49.816043278837
"70",66,0.12,0.06,1,48.9996964124049
"71",66,0.12,0.08,1,46.9854749278638
"72",66,0.12,0.1,1,43.4182811420884
"73",66,0.12,0.12,1,38.4115238344507
"74",66,0.12,0.14,1,32.561770030949
"75",66,0.12,0.16,1,26.650746902298
"76",66,0.12,0.18,1,21.2935887056711
"77",66,0.12,0.2,1,16.7909502097638
"78",66,0.14,0,1,49.9921146766669
"79",66,0.14,0.02,1,49.9931698475827
"80",66,0.14,0.04,1,49.816043278837
"81",66,0.14,0.06,0.9,48.9996964124049
"82",66,0.14,0.08,1,46.9854749278638
"83",66,0.14,0.1,1,43.4182811420884
"84",66,0.14,0.12,1,38.4115238344507
"85",66,0.14,0.14,1,32.561770030949
"86",66,0.14,0.16,1,26.650746902298
"87",66,0.14,0.18,1,21.2935887056711
"88",66,0.14,0.2,1,16.7909502097638
"89",66,0.16,0,1,49.9921146766669
"90",66,0.16,0.02,1,49.9931698475827
"91",66,0.16,0.04,1,49.816043278837
"92",66,0.16,0.06,1,48.9996964124049
"93",66,0.16,0.08,1,46.9854749278638
"94",66,0.16,0.1,1,43.4182811420884
"95",66,0.16,0.12,1,38.4115238344507
"96",66,0.16,0.14,1,32.561770030949
"97",66,0.16,0.16,1,26.650746902298
"98",66,0.16,0.18,1,21.2935887056711
"99",66,0.16,0.2,1,16.7909502097638
"100",66,0.18,0,1,49.9921146766669
"101",66,0.18,0.02,1,49.9931698475827
"102",66,0.18,0.04,1,49.816043278837
"103",66,0.18,0.06,1,48.9996964124049
"104",66,0.18,0.08,1,46.9854749278638
"105",66,0.18,0.1,1,43.4182811420884
"106",66,0.18,0.12,1,38.4115238344507
"107",66,0.18,0.14,1,32.561770030949
"108",66,0.18,0.16,1,26.650746902298
"109",66,0.18,0.18,1,21.2935887056711
"110",66,0.18,0.2,1,16.7909502097638
