"","delta1","delta2","pow","ess"
"1",-1,-1,1,28.9132974131815
"2",-1,-0.9,1,28.6981558083513
"3",-1,-0.8,1,28.8747351494402
"4",-1,-0.7,1,28.7307626518698
"5",-1,-0.6,1,29.1817698996198
"6",-1,-0.5,1,25.3251110029938
"7",-1,-0.4,1,93.6457773111802
"8",-1,-0.3,1,119.946445230893
"9",-1,-0.2,1,120.741520421583
"10",-1,-0.1,1,121.294277074035
"11",-1,0,1,120.730240575896
"12",-1,0.1,1,120.572956518833
"13",-1,0.2,1,83.0814925765402
"14",-1,0.3,1,29.7822265929432
"15",-1,0.4,1,29.1674537470607
"16",-1,0.5,1,28.9016095601381
"17",-1,0.6,1,28.8688835424911
"18",-1,0.7,1,28.9689963366873
"19",-1,0.8,1,28.8599101672237
"20",-1,0.9,1,28.9242666586808
"21",-1,1,1,28.9879915072754
"22",-0.9,-1,1,28.9132974131815
"23",-0.9,-0.9,1,28.6981558083513
"24",-0.9,-0.8,1,28.8747351494402
"25",-0.9,-0.7,1,28.7307626518698
"26",-0.9,-0.6,1,29.1817698996198
"27",-0.9,-0.5,1,25.3251110029938
"28",-0.9,-0.4,1,93.6457773111802
"29",-0.9,-0.3,1,119.946445230893
"30",-0.9,-0.2,1,120.741520421583
"31",-0.9,-0.1,1,121.294277074035
"32",-0.9,0,1,120.730240575896
"33",-0.9,0.1,1,120.572956518833
"34",-0.9,0.2,1,83.0814925765402
"35",-0.9,0.3,1,29.7822265929432
"36",-0.9,0.4,1,29.1674537470607
"37",-0.9,0.5,1,28.9016095601381
"38",-0.9,0.6,1,28.8688835424911
"39",-0.9,0.7,1,28.9689963366873
"40",-0.9,0.8,1,28.8599101672237
"41",-0.9,0.9,1,28.9242666586808
"42",-0.9,1,1,28.9879915072754
"43",-0.8,-1,1,28.9132974131815
"44",-0.8,-0.9,1,28.6981558083513
"45",-0.8,-0.8,1,28.8747351494402
"46",-0.8,-0.7,1,28.7307626518698
"47",-0.8,-0.6,1,29.1817698996198
"48",-0.8,-0.5,1,25.3251110029938
"49",-0.8,-0.4,1,93.6457773111802
"50",-0.8,-0.3,1,119.946445230893
"51",-0.8,-0.2,1,120.741520421583
"52",-0.8,-0.1,1,121.294277074035
"53",-0.8,0,1,120.730240575896
"54",-0.8,0.1,1,120.572956518833
"55",-0.8,0.2,1,83.0814925765402
"56",-0.8,0.3,1,29.7822265929432
"57",-0.8,0.4,1,29.1674537470607
"58",-0.8,0.5,1,28.9016095601381
"59",-0.8,0.6,1,28.8688835424911
"60",-0.8,0.7,1,28.9689963366873
"61",-0.8,0.8,1,28.8599101672237
"62",-0.8,0.9,1,28.9242666586808
"63",-0.8,1,1,28.9879915072754
"64",-0.7,-1,1,28.9132974131815
"65",-0.7,-0.9,1,28.6981558083513
"66",-0.7,-0.8,1,28.8747351494402
"67",-0.7,-0.7,1,28.7307626518698
"68",-0.7,-0.6,1,29.1817698996198
"69",-0.7,-0.5,1,25.3251110029938
"70",-0.7,-0.4,1,93.6457773111802
"71",-0.7,-0.3,1,119.946445230893
"72",-0.7,-0.2,1,120.741520421583
"73",-0.7,-0.1,1,121.294277074035
"74",-0.7,0,1,120.730240575896
"75",-0.7,0.1,1,120.572956518833
"76",-0.7,0.2,1,83.0814925765402
"77",-0.7,0.3,1,29.7822265929432
"78",-0.7,0.4,1,29.1674537470607
"79",-0.7,0.5,1,28.9016095601381
"80",-0.7,0.6,1,28.8688835424911
"81",-0.7,0.7,1,28.9689963366873
"82",-0.7,0.8,1,28.8599101672237
"83",-0.7,0.9,1,28.9242666586808
"84",-0.7,1,1,28.9879915072754
"85",-0.6,-1,1,28.9132974131815
"86",-0.6,-0.9,1,28.6981558083513
"87",-0.6,-0.8,1,28.8747351494402
"88",-0.6,-0.7,1,28.7307626518698
"89",-0.6,-0.6,1,29.1817698996198
"90",-0.6,-0.5,1,25.3251110029938
"91",-0.6,-0.4,1,93.6457773111802
"92",-0.6,-0.3,1,119.946445230893
"93",-0.6,-0.2,1,120.741520421583
"94",-0.6,-0.1,1,121.294277074035
"95",-0.6,0,1,120.730240575896
"96",-0.6,0.1,1,120.572956518833
"97",-0.6,0.2,1,83.0814925765402
"98",-0.6,0.3,1,29.7822265929432
"99",-0.6,0.4,1,29.1674537470607
"100",-0.6,0.5,1,28.9016095601381
"101",-0.6,0.6,1,28.8688835424911
"102",-0.6,0.7,1,28.9689963366873
"103",-0.6,0.8,1,28.8599101672237
"104",-0.6,0.9,1,28.9242666586808
"105",-0.6,1,1,28.9879915072754
"106",-0.5,-1,1,28.9132974131815
"107",-0.5,-0.9,1,28.6981558083513
"108",-0.5,-0.8,1,28.8747351494402
"109",-0.5,-0.7,1,28.7307626518698
"110",-0.5,-0.6,1,29.1817698996198
"111",-0.5,-0.5,1,25.3251110029938
"112",-0.5,-0.4,1,93.6457773111802
"113",-0.5,-0.3,1,119.946445230893
"114",-0.5,-0.2,1,120.741520421583
"115",-0.5,-0.1,1,121.294277074035
"116",-0.5,0,1,120.730240575896
"117",-0.5,0.1,1,120.572956518833
"118",-0.5,0.2,1,83.0814925765402
"119",-0.5,0.3,1,29.7822265929432
"120",-0.5,0.4,1,29.1674537470607
"121",-0.5,0.5,1,28.9016095601381
"122",-0.5,0.6,1,28.8688835424911
"123",-0.5,0.7,1,28.9689963366873
"124",-0.5,0.8,1,28.8599101672237
"125",-0.5,0.9,1,28.9242666586808
"126",-0.5,1,1,28.9879915072754
"127",-0.4,-1,1,28.9132974131815
"128",-0.4,-0.9,1,28.6981558083513
"129",-0.4,-0.8,1,28.8747351494402
"130",-0.4,-0.7,1,28.7307626518698
"131",-0.4,-0.6,1,29.1817698996198
"132",-0.4,-0.5,1,25.3251110029938
"133",-0.4,-0.4,1,93.6457773111802
"134",-0.4,-0.3,1,119.946445230893
"135",-0.4,-0.2,1,120.741520421583
"136",-0.4,-0.1,1,121.294277074035
"137",-0.4,0,1,120.730240575896
"138",-0.4,0.1,1,120.572956518833
"139",-0.4,0.2,1,83.0814925765402
"140",-0.4,0.3,1,29.7822265929432
"141",-0.4,0.4,1,29.1674537470607
"142",-0.4,0.5,1,28.9016095601381
"143",-0.4,0.6,1,28.8688835424911
"144",-0.4,0.7,1,28.9689963366873
"145",-0.4,0.8,1,28.8599101672237
"146",-0.4,0.9,1,28.9242666586808
"147",-0.4,1,1,28.9879915072754
"148",-0.3,-1,1,28.9132974131815
"149",-0.3,-0.9,1,28.6981558083513
"150",-0.3,-0.8,1,28.8747351494402
"151",-0.3,-0.7,1,28.7307626518698
"152",-0.3,-0.6,1,29.1817698996198
"153",-0.3,-0.5,1,25.3251110029938
"154",-0.3,-0.4,1,93.6457773111802
"155",-0.3,-0.3,1,119.946445230893
"156",-0.3,-0.2,1,120.741520421583
"157",-0.3,-0.1,1,121.294277074035
"158",-0.3,0,1,120.730240575896
"159",-0.3,0.1,1,120.572956518833
"160",-0.3,0.2,1,83.0814925765402
"161",-0.3,0.3,1,29.7822265929432
"162",-0.3,0.4,1,29.1674537470607
"163",-0.3,0.5,1,28.9016095601381
"164",-0.3,0.6,1,28.8688835424911
"165",-0.3,0.7,1,28.9689963366873
"166",-0.3,0.8,1,28.8599101672237
"167",-0.3,0.9,1,28.9242666586808
"168",-0.3,1,1,28.9879915072754
"169",-0.2,-1,1,28.9132974131815
"170",-0.2,-0.9,1,28.6981558083513
"171",-0.2,-0.8,1,28.8747351494402
"172",-0.2,-0.7,1,28.7307626518698
"173",-0.2,-0.6,1,29.1817698996198
"174",-0.2,-0.5,0.97,25.3251110029938
"175",-0.2,-0.4,1,93.6457773111802
"176",-0.2,-0.3,1,119.946445230893
"177",-0.2,-0.2,1,120.741520421583
"178",-0.2,-0.1,1,121.294277074035
"179",-0.2,0,1,120.730240575896
"180",-0.2,0.1,1,120.572956518833
"181",-0.2,0.2,1,83.0814925765402
"182",-0.2,0.3,1,29.7822265929432
"183",-0.2,0.4,1,29.1674537470607
"184",-0.2,0.5,1,28.9016095601381
"185",-0.2,0.6,1,28.8688835424911
"186",-0.2,0.7,1,28.9689963366873
"187",-0.2,0.8,1,28.8599101672237
"188",-0.2,0.9,1,28.9242666586808
"189",-0.2,1,1,28.9879915072754
"190",-0.1,-1,1,28.9132974131815
"191",-0.1,-0.9,1,28.6981558083513
"192",-0.1,-0.8,1,28.8747351494402
"193",-0.1,-0.7,1,28.7307626518698
"194",-0.1,-0.6,1,29.1817698996198
"195",-0.1,-0.5,0.75,25.3251110029938
"196",-0.1,-0.4,0.55,93.6457773111802
"197",-0.1,-0.3,1,119.946445230893
"198",-0.1,-0.2,1,120.741520421583
"199",-0.1,-0.1,1,121.294277074035
"200",-0.1,0,1,120.730240575896
"201",-0.1,0.1,1,120.572956518833
"202",-0.1,0.2,1,83.0814925765402
"203",-0.1,0.3,1,29.7822265929432
"204",-0.1,0.4,1,29.1674537470607
"205",-0.1,0.5,1,28.9016095601381
"206",-0.1,0.6,1,28.8688835424911
"207",-0.1,0.7,1,28.9689963366873
"208",-0.1,0.8,1,28.8599101672237
"209",-0.1,0.9,1,28.9242666586808
"210",-0.1,1,1,28.9879915072754
"211",0,-1,1,28.9132974131815
"212",0,-0.9,1,28.6981558083513
"213",0,-0.8,1,28.8747351494402
"214",0,-0.7,1,28.7307626518698
"215",0,-0.6,1,29.1817698996198
"216",0,-0.5,0.72,25.3251110029938
"217",0,-0.4,0.01,93.6457773111802
"218",0,-0.3,0.25,119.946445230893
"219",0,-0.2,0.98,120.741520421583
"220",0,-0.1,1,121.294277074035
"221",0,0,1,120.730240575896
"222",0,0.1,1,120.572956518833
"223",0,0.2,1,83.0814925765402
"224",0,0.3,1,29.7822265929432
"225",0,0.4,1,29.1674537470607
"226",0,0.5,1,28.9016095601381
"227",0,0.6,1,28.8688835424911
"228",0,0.7,1,28.9689963366873
"229",0,0.8,1,28.8599101672237
"230",0,0.9,1,28.9242666586808
"231",0,1,1,28.9879915072754
"232",0.1,-1,0.57,28.9132974131815
"233",0.1,-0.9,0.59,28.6981558083513
"234",0.1,-0.8,0.58,28.8747351494402
"235",0.1,-0.7,0.56,28.7307626518698
"236",0.1,-0.6,0.56,29.1817698996198
"237",0.1,-0.5,0.46,25.3251110029938
"238",0.1,-0.4,0.01,93.6457773111802
"239",0.1,-0.3,0,119.946445230893
"240",0.1,-0.2,0.08,120.741520421583
"241",0.1,-0.1,0.87,121.294277074035
"242",0.1,0,1,120.730240575896
