"","nc","delta1","delta2","pow2","pow1","ess"
"1",5,0,0,0.760108,0.11,102.958024260893
"2",5,0,0.02,0.827996,0.25,102.919921508575
"3",5,0,0.04,0.893695,0.45,102.841639947193
"4",5,0,0.06,0.936112,0.7,102.698614956675
"5",5,0,0.08,0.963811,0.8,102.453494353002
"6",5,0,0.1,0.979186,0.9,102.054047542665
"7",5,0,0.12,0.987624,0.94,101.432250990535
"8",5,0,0.14,0.991934,0.96,100.505424130022
"9",5,0,0.16,0.994169,0.98,99.1799237838473
"10",5,0,0.18,0.995332,0.99,97.35742816876
"11",5,0,0.2,0.995951,0.99,94.9436667482054
"12",5,0.02,0,0.709094,0.04,102.958024260893
"13",5,0.02,0.02,0.75264,0.1,102.919921508575
"14",5,0.02,0.04,0.816026,0.2,102.841639947193
"15",5,0.02,0.06,0.882565,0.43,102.698614956675
"16",5,0.02,0.08,0.92824,0.67,102.453494353002
"17",5,0.02,0.1,0.958625,0.78,102.054047542665
"18",5,0.02,0.12,0.975948,0.87,101.432250990535
"19",5,0.02,0.14,0.985009,0.92,100.505424130022
"20",5,0.02,0.16,0.989229,0.95,99.1799237838473
"21",5,0.02,0.18,0.991213,0.96,97.35742816876
"22",5,0.02,0.2,0.992013,0.97,94.9436667482054
"23",5,0.04,0,0.734663,0.04,102.958024260893
"24",5,0.04,0.02,0.70711,0.03,102.919921508575
"25",5,0.04,0.04,0.744338,0.1,102.841639947193
"26",5,0.04,0.06,0.804114,0.13,102.698614956675
"27",5,0.04,0.08,0.870312,0.34,102.453494353002
"28",5,0.04,0.1,0.918305,0.59,102.054047542665
"29",5,0.04,0.12,0.95093,0.74,101.432250990535
"30",5,0.04,0.14,0.970991,0.85,100.505424130022
"31",5,0.04,0.16,0.981666,0.9,99.1799237838473
"32",5,0.04,0.18,0.986955,0.92,97.35742816876
"33",5,0.04,0.2,0.989601,0.94,94.9436667482054
"34",5,0.06,0,0.80006,0.19,102.958024260893
"35",5,0.06,0.02,0.739662,0.07,102.919921508575
"36",5,0.06,0.04,0.707514,0.03,102.841639947193
"37",5,0.06,0.06,0.73527,0.08,102.698614956675
"38",5,0.06,0.08,0.792823,0.13,102.453494353002
"39",5,0.06,0.1,0.857891,0.29,102.054047542665
"40",5,0.06,0.12,0.906364,0.54,101.432250990535
"41",5,0.06,0.14,0.940731,0.71,100.505424130022
"42",5,0.06,0.16,0.963084,0.81,99.1799237838473
"43",5,0.06,0.18,0.975564,0.88,97.35742816876
"44",5,0.06,0.2,0.982089,0.9,94.9436667482054
"45",5,0.08,0,0.878391,0.41,102.958024260893
"46",5,0.08,0.02,0.812159,0.2,102.919921508575
"47",5,0.08,0.04,0.749863,0.08,102.841639947193
"48",5,0.08,0.06,0.710215,0.03,102.698614956675
"49",5,0.08,0.08,0.725537,0.07,102.453494353002
"50",5,0.08,0.1,0.781756,0.12,102.054047542665
"51",5,0.08,0.12,0.844083,0.25,101.432250990535
"52",5,0.08,0.14,0.894713,0.46,100.505424130022
"53",5,0.08,0.16,0.927602,0.68,99.1799237838473
"54",5,0.08,0.18,0.952254,0.79,97.35742816876
"55",5,0.08,0.2,0.96611,0.85,94.9436667482054
"56",5,0.1,0,0.943412,0.66,102.958024260893
"57",5,0.1,0.02,0.890499,0.46,102.919921508575
"58",5,0.1,0.04,0.823113,0.23,102.841639947193
"59",5,0.1,0.06,0.760807,0.11,102.698614956675
"60",5,0.1,0.08,0.714388,0.04,102.453494353002
"61",5,0.1,0.1,0.721002,0.06,102.054047542665
"62",5,0.1,0.12,0.771131,0.1,101.432250990535
"63",5,0.1,0.14,0.830193,0.25,100.505424130022
"64",5,0.1,0.16,0.881661,0.42,99.1799237838473
"65",5,0.1,0.18,0.915448,0.6,97.35742816876
"66",5,0.1,0.2,0.937975,0.72,94.9436667482054
