"","delta1","delta2","pow","ess"
"1",-1,-1,1,29.7864468328625
"2",-1,-0.9,1,29.612635965032
"3",-1,-0.8,1,29.6557321418812
"4",-1,-0.7,1,29.5495659399074
"5",-1,-0.6,1,29.9017863825452
"6",-1,-0.5,1,29.6959362104754
"7",-1,-0.4,1,29.7405534305588
"8",-1,-0.3,1,29.7671887881948
"9",-1,-0.2,1,29.4999677039302
"10",-1,-0.1,1,29.4612463405453
"11",-1,0,1,29.917781844192
"12",-1,0.1,1,29.6220946124274
"13",-1,0.2,1,29.4943902312945
"14",-1,0.3,1,29.872963454589
"15",-1,0.4,1,29.7818200387529
"16",-1,0.5,1,29.5890963222332
"17",-1,0.6,1,29.7538373092187
"18",-1,0.7,1,29.7282163779094
"19",-1,0.8,1,29.8428541169345
"20",-1,0.9,1,29.8636437136465
"21",-1,1,1,29.7718772970385
"22",-0.9,-1,1,29.7864468328625
"23",-0.9,-0.9,1,29.612635965032
"24",-0.9,-0.8,1,29.6557321418812
"25",-0.9,-0.7,1,29.5495659399074
"26",-0.9,-0.6,1,29.9017863825452
"27",-0.9,-0.5,1,29.6959362104754
"28",-0.9,-0.4,1,29.7405534305588
"29",-0.9,-0.3,1,29.7671887881948
"30",-0.9,-0.2,1,29.4999677039302
"31",-0.9,-0.1,1,29.4612463405453
"32",-0.9,0,1,29.917781844192
"33",-0.9,0.1,1,29.6220946124274
"34",-0.9,0.2,1,29.4943902312945
"35",-0.9,0.3,1,29.872963454589
"36",-0.9,0.4,1,29.7818200387529
"37",-0.9,0.5,1,29.5890963222332
"38",-0.9,0.6,1,29.7538373092187
"39",-0.9,0.7,1,29.7282163779094
"40",-0.9,0.8,1,29.8428541169345
"41",-0.9,0.9,1,29.8636437136465
"42",-0.9,1,1,29.7718772970385
"43",-0.8,-1,1,29.7864468328625
"44",-0.8,-0.9,1,29.612635965032
"45",-0.8,-0.8,1,29.6557321418812
"46",-0.8,-0.7,1,29.5495659399074
"47",-0.8,-0.6,1,29.9017863825452
"48",-0.8,-0.5,1,29.6959362104754
"49",-0.8,-0.4,1,29.7405534305588
"50",-0.8,-0.3,1,29.7671887881948
"51",-0.8,-0.2,1,29.4999677039302
"52",-0.8,-0.1,1,29.4612463405453
"53",-0.8,0,1,29.917781844192
"54",-0.8,0.1,1,29.6220946124274
"55",-0.8,0.2,1,29.4943902312945
"56",-0.8,0.3,1,29.872963454589
"57",-0.8,0.4,1,29.7818200387529
"58",-0.8,0.5,1,29.5890963222332
"59",-0.8,0.6,1,29.7538373092187
"60",-0.8,0.7,1,29.7282163779094
"61",-0.8,0.8,1,29.8428541169345
"62",-0.8,0.9,1,29.8636437136465
"63",-0.8,1,1,29.7718772970385
"64",-0.7,-1,1,29.7864468328625
"65",-0.7,-0.9,1,29.612635965032
"66",-0.7,-0.8,1,29.6557321418812
"67",-0.7,-0.7,1,29.5495659399074
"68",-0.7,-0.6,1,29.9017863825452
"69",-0.7,-0.5,1,29.6959362104754
"70",-0.7,-0.4,1,29.7405534305588
"71",-0.7,-0.3,1,29.7671887881948
"72",-0.7,-0.2,1,29.4999677039302
"73",-0.7,-0.1,1,29.4612463405453
"74",-0.7,0,1,29.917781844192
"75",-0.7,0.1,1,29.6220946124274
"76",-0.7,0.2,1,29.4943902312945
"77",-0.7,0.3,1,29.872963454589
"78",-0.7,0.4,1,29.7818200387529
"79",-0.7,0.5,1,29.5890963222332
"80",-0.7,0.6,1,29.7538373092187
"81",-0.7,0.7,1,29.7282163779094
"82",-0.7,0.8,1,29.8428541169345
"83",-0.7,0.9,1,29.8636437136465
"84",-0.7,1,1,29.7718772970385
"85",-0.6,-1,1,29.7864468328625
"86",-0.6,-0.9,1,29.612635965032
"87",-0.6,-0.8,1,29.6557321418812
"88",-0.6,-0.7,1,29.5495659399074
"89",-0.6,-0.6,1,29.9017863825452
"90",-0.6,-0.5,1,29.6959362104754
"91",-0.6,-0.4,1,29.7405534305588
"92",-0.6,-0.3,1,29.7671887881948
"93",-0.6,-0.2,1,29.4999677039302
"94",-0.6,-0.1,1,29.4612463405453
"95",-0.6,0,1,29.917781844192
"96",-0.6,0.1,1,29.6220946124274
"97",-0.6,0.2,1,29.4943902312945
"98",-0.6,0.3,1,29.872963454589
"99",-0.6,0.4,1,29.7818200387529
"100",-0.6,0.5,1,29.5890963222332
"101",-0.6,0.6,1,29.7538373092187
"102",-0.6,0.7,1,29.7282163779094
"103",-0.6,0.8,1,29.8428541169345
"104",-0.6,0.9,1,29.8636437136465
"105",-0.6,1,1,29.7718772970385
"106",-0.5,-1,1,29.7864468328625
"107",-0.5,-0.9,1,29.612635965032
"108",-0.5,-0.8,1,29.6557321418812
"109",-0.5,-0.7,1,29.5495659399074
"110",-0.5,-0.6,1,29.9017863825452
"111",-0.5,-0.5,1,29.6959362104754
"112",-0.5,-0.4,1,29.7405534305588
"113",-0.5,-0.3,1,29.7671887881948
"114",-0.5,-0.2,1,29.4999677039302
"115",-0.5,-0.1,1,29.4612463405453
"116",-0.5,0,1,29.917781844192
"117",-0.5,0.1,1,29.6220946124274
"118",-0.5,0.2,1,29.4943902312945
"119",-0.5,0.3,1,29.872963454589
"120",-0.5,0.4,1,29.7818200387529
"121",-0.5,0.5,1,29.5890963222332
"122",-0.5,0.6,1,29.7538373092187
"123",-0.5,0.7,1,29.7282163779094
"124",-0.5,0.8,1,29.8428541169345
"125",-0.5,0.9,1,29.8636437136465
"126",-0.5,1,1,29.7718772970385
"127",-0.4,-1,1,29.7864468328625
"128",-0.4,-0.9,1,29.612635965032
"129",-0.4,-0.8,1,29.6557321418812
"130",-0.4,-0.7,1,29.5495659399074
"131",-0.4,-0.6,1,29.9017863825452
"132",-0.4,-0.5,1,29.6959362104754
"133",-0.4,-0.4,1,29.7405534305588
"134",-0.4,-0.3,1,29.7671887881948
"135",-0.4,-0.2,1,29.4999677039302
"136",-0.4,-0.1,1,29.4612463405453
"137",-0.4,0,1,29.917781844192
"138",-0.4,0.1,1,29.6220946124274
"139",-0.4,0.2,1,29.4943902312945
"140",-0.4,0.3,1,29.872963454589
"141",-0.4,0.4,1,29.7818200387529
"142",-0.4,0.5,1,29.5890963222332
"143",-0.4,0.6,1,29.7538373092187
"144",-0.4,0.7,1,29.7282163779094
"145",-0.4,0.8,1,29.8428541169345
"146",-0.4,0.9,1,29.8636437136465
"147",-0.4,1,1,29.7718772970385
"148",-0.3,-1,1,29.7864468328625
"149",-0.3,-0.9,1,29.612635965032
"150",-0.3,-0.8,1,29.6557321418812
"151",-0.3,-0.7,1,29.5495659399074
"152",-0.3,-0.6,1,29.9017863825452
"153",-0.3,-0.5,1,29.6959362104754
"154",-0.3,-0.4,1,29.7405534305588
"155",-0.3,-0.3,1,29.7671887881948
"156",-0.3,-0.2,1,29.4999677039302
"157",-0.3,-0.1,1,29.4612463405453
"158",-0.3,0,1,29.917781844192
"159",-0.3,0.1,1,29.6220946124274
"160",-0.3,0.2,1,29.4943902312945
"161",-0.3,0.3,1,29.872963454589
"162",-0.3,0.4,1,29.7818200387529
"163",-0.3,0.5,1,29.5890963222332
"164",-0.3,0.6,1,29.7538373092187
"165",-0.3,0.7,1,29.7282163779094
"166",-0.3,0.8,1,29.8428541169345
"167",-0.3,0.9,1,29.8636437136465
"168",-0.3,1,1,29.7718772970385
"169",-0.2,-1,1,29.7864468328625
"170",-0.2,-0.9,1,29.612635965032
"171",-0.2,-0.8,1,29.6557321418812
"172",-0.2,-0.7,1,29.5495659399074
"173",-0.2,-0.6,1,29.9017863825452
"174",-0.2,-0.5,1,29.6959362104754
"175",-0.2,-0.4,1,29.7405534305588
"176",-0.2,-0.3,1,29.7671887881948
"177",-0.2,-0.2,1,29.4999677039302
"178",-0.2,-0.1,1,29.4612463405453
"179",-0.2,0,1,29.917781844192
"180",-0.2,0.1,1,29.6220946124274
"181",-0.2,0.2,1,29.4943902312945
"182",-0.2,0.3,1,29.872963454589
"183",-0.2,0.4,1,29.7818200387529
"184",-0.2,0.5,1,29.5890963222332
"185",-0.2,0.6,1,29.7538373092187
"186",-0.2,0.7,1,29.7282163779094
"187",-0.2,0.8,1,29.8428541169345
"188",-0.2,0.9,1,29.8636437136465
"189",-0.2,1,1,29.7718772970385
"190",-0.1,-1,1,29.7864468328625
"191",-0.1,-0.9,1,29.612635965032
"192",-0.1,-0.8,1,29.6557321418812
"193",-0.1,-0.7,1,29.5495659399074
"194",-0.1,-0.6,1,29.9017863825452
"195",-0.1,-0.5,1,29.6959362104754
"196",-0.1,-0.4,1,29.7405534305588
"197",-0.1,-0.3,1,29.7671887881948
"198",-0.1,-0.2,1,29.4999677039302
"199",-0.1,-0.1,1,29.4612463405453
"200",-0.1,0,1,29.917781844192
"201",-0.1,0.1,1,29.6220946124274
"202",-0.1,0.2,1,29.4943902312945
"203",-0.1,0.3,1,29.872963454589
"204",-0.1,0.4,1,29.7818200387529
"205",-0.1,0.5,1,29.5890963222332
"206",-0.1,0.6,1,29.7538373092187
"207",-0.1,0.7,1,29.7282163779094
"208",-0.1,0.8,1,29.8428541169345
"209",-0.1,0.9,1,29.8636437136465
"210",-0.1,1,1,29.7718772970385
"211",0,-1,1,29.7864468328625
"212",0,-0.9,1,29.612635965032
"213",0,-0.8,1,29.6557321418812
"214",0,-0.7,1,29.5495659399074
"215",0,-0.6,1,29.9017863825452
"216",0,-0.5,1,29.6959362104754
"217",0,-0.4,1,29.7405534305588
"218",0,-0.3,1,29.7671887881948
"219",0,-0.2,1,29.4999677039302
"220",0,-0.1,1,29.4612463405453
"221",0,0,1,29.917781844192
"222",0,0.1,1,29.6220946124274
"223",0,0.2,1,29.4943902312945
"224",0,0.3,1,29.872963454589
"225",0,0.4,1,29.7818200387529
"226",0,0.5,1,29.5890963222332
"227",0,0.6,1,29.7538373092187
"228",0,0.7,1,29.7282163779094
"229",0,0.8,1,29.8428541169345
"230",0,0.9,1,29.8636437136465
"231",0,1,1,29.7718772970385
"232",0.1,-1,0.77,29.7864468328625
"233",0.1,-0.9,0.77,29.612635965032
"234",0.1,-0.8,0.77,29.6557321418812
"235",0.1,-0.7,0.77,29.5495659399074
"236",0.1,-0.6,0.77,29.9017863825452
"237",0.1,-0.5,0.77,29.6959362104754
"238",0.1,-0.4,0.77,29.7405534305588
"239",0.1,-0.3,0.77,29.7671887881948
"240",0.1,-0.2,0.77,29.4999677039302
"241",0.1,-0.1,0.77,29.4612463405453
"242",0.1,0,0.77,29.917781844192
"243",0.1,0.1,0.77,29.6220946124274
"244",0.1,0.2,0.77,29.4943902312945
"245",0.1,0.3,0.77,29.872963454589
"246",0.1,0.4,0.77,29.7818200387529
"247",0.1,0.5,0.77,29.5890963222332
"248",0.1,0.6,0.77,29.7538373092187
