"","delta1","delta2","pow","ess"
"1",-1,-1,1,30.8001196071485
"2",-1,-0.9,1,31.2127871187259
"3",-1,-0.8,1,32.2525153424314
"4",-1,-0.7,1,33.5200291089088
"5",-1,-0.6,1,37.6962204018047
"6",-1,-0.5,1,48.0670288228098
"7",-1,-0.4,1,73.415501052513
"8",-1,-0.3,1,109.239313268056
"9",-1,-0.2,1,125.445189003741
"10",-1,-0.1,1,127.560354536037
"11",-1,0,1,125.005739113904
"12",-1,0.1,1,106.990817905316
"13",-1,0.2,1,70.9471199282656
"14",-1,0.3,1,46.9677539756461
"15",-1,0.4,1,37.1791076047234
"16",-1,0.5,1,33.470376706723
"17",-1,0.6,1,31.8835313290536
"18",-1,0.7,1,31.1882917181211
"19",-1,0.8,1,30.9932255502627
"20",-1,0.9,1,30.673766260049
"21",-1,1,1,30.5688950542173
"22",-0.9,-1,1,30.8001196071485
"23",-0.9,-0.9,1,31.2127871187259
"24",-0.9,-0.8,1,32.2525153424314
"25",-0.9,-0.7,1,33.5200291089088
"26",-0.9,-0.6,1,37.6962204018047
"27",-0.9,-0.5,1,48.0670288228098
"28",-0.9,-0.4,1,73.415501052513
"29",-0.9,-0.3,1,109.239313268056
"30",-0.9,-0.2,1,125.445189003741
"31",-0.9,-0.1,1,127.560354536037
"32",-0.9,0,1,125.005739113904
"33",-0.9,0.1,1,106.990817905316
"34",-0.9,0.2,1,70.9471199282656
"35",-0.9,0.3,1,46.9677539756461
"36",-0.9,0.4,1,37.1791076047234
"37",-0.9,0.5,1,33.470376706723
"38",-0.9,0.6,1,31.8835313290536
"39",-0.9,0.7,1,31.1882917181211
"40",-0.9,0.8,1,30.9932255502627
"41",-0.9,0.9,1,30.673766260049
"42",-0.9,1,1,30.5688950542173
"43",-0.8,-1,1,30.8001196071485
"44",-0.8,-0.9,1,31.2127871187259
"45",-0.8,-0.8,1,32.2525153424314
"46",-0.8,-0.7,1,33.5200291089088
"47",-0.8,-0.6,1,37.6962204018047
"48",-0.8,-0.5,1,48.0670288228098
"49",-0.8,-0.4,1,73.415501052513
"50",-0.8,-0.3,1,109.239313268056
"51",-0.8,-0.2,1,125.445189003741
"52",-0.8,-0.1,1,127.560354536037
"53",-0.8,0,1,125.005739113904
"54",-0.8,0.1,1,106.990817905316
"55",-0.8,0.2,1,70.9471199282656
"56",-0.8,0.3,1,46.9677539756461
"57",-0.8,0.4,1,37.1791076047234
"58",-0.8,0.5,1,33.470376706723
"59",-0.8,0.6,1,31.8835313290536
"60",-0.8,0.7,1,31.1882917181211
"61",-0.8,0.8,1,30.9932255502627
"62",-0.8,0.9,1,30.673766260049
"63",-0.8,1,1,30.5688950542173
"64",-0.7,-1,1,30.8001196071485
"65",-0.7,-0.9,1,31.2127871187259
"66",-0.7,-0.8,1,32.2525153424314
"67",-0.7,-0.7,1,33.5200291089088
"68",-0.7,-0.6,1,37.6962204018047
"69",-0.7,-0.5,1,48.0670288228098
"70",-0.7,-0.4,1,73.415501052513
"71",-0.7,-0.3,1,109.239313268056
"72",-0.7,-0.2,1,125.445189003741
"73",-0.7,-0.1,1,127.560354536037
"74",-0.7,0,1,125.005739113904
"75",-0.7,0.1,1,106.990817905316
"76",-0.7,0.2,1,70.9471199282656
"77",-0.7,0.3,1,46.9677539756461
"78",-0.7,0.4,1,37.1791076047234
"79",-0.7,0.5,1,33.470376706723
"80",-0.7,0.6,1,31.8835313290536
"81",-0.7,0.7,1,31.1882917181211
"82",-0.7,0.8,1,30.9932255502627
"83",-0.7,0.9,1,30.673766260049
"84",-0.7,1,1,30.5688950542173
"85",-0.6,-1,1,30.8001196071485
"86",-0.6,-0.9,1,31.2127871187259
"87",-0.6,-0.8,1,32.2525153424314
"88",-0.6,-0.7,1,33.5200291089088
"89",-0.6,-0.6,1,37.6962204018047
"90",-0.6,-0.5,1,48.0670288228098
"91",-0.6,-0.4,1,73.415501052513
"92",-0.6,-0.3,1,109.239313268056
"93",-0.6,-0.2,1,125.445189003741
"94",-0.6,-0.1,1,127.560354536037
"95",-0.6,0,1,125.005739113904
"96",-0.6,0.1,1,106.990817905316
"97",-0.6,0.2,1,70.9471199282656
"98",-0.6,0.3,1,46.9677539756461
"99",-0.6,0.4,1,37.1791076047234
"100",-0.6,0.5,1,33.470376706723
"101",-0.6,0.6,1,31.8835313290536
"102",-0.6,0.7,1,31.1882917181211
"103",-0.6,0.8,1,30.9932255502627
"104",-0.6,0.9,1,30.673766260049
"105",-0.6,1,1,30.5688950542173
"106",-0.5,-1,1,30.8001196071485
"107",-0.5,-0.9,1,31.2127871187259
"108",-0.5,-0.8,1,32.2525153424314
"109",-0.5,-0.7,1,33.5200291089088
"110",-0.5,-0.6,1,37.6962204018047
"111",-0.5,-0.5,1,48.0670288228098
"112",-0.5,-0.4,1,73.415501052513
"113",-0.5,-0.3,1,109.239313268056
"114",-0.5,-0.2,1,125.445189003741
"115",-0.5,-0.1,1,127.560354536037
"116",-0.5,0,1,125.005739113904
"117",-0.5,0.1,1,106.990817905316
"118",-0.5,0.2,1,70.9471199282656
"119",-0.5,0.3,1,46.9677539756461
"120",-0.5,0.4,1,37.1791076047234
"121",-0.5,0.5,1,33.470376706723
"122",-0.5,0.6,1,31.8835313290536
"123",-0.5,0.7,1,31.1882917181211
"124",-0.5,0.8,1,30.9932255502627
"125",-0.5,0.9,1,30.673766260049
"126",-0.5,1,1,30.5688950542173
"127",-0.4,-1,1,30.8001196071485
"128",-0.4,-0.9,1,31.2127871187259
"129",-0.4,-0.8,1,32.2525153424314
"130",-0.4,-0.7,1,33.5200291089088
"131",-0.4,-0.6,1,37.6962204018047
"132",-0.4,-0.5,1,48.0670288228098
"133",-0.4,-0.4,1,73.415501052513
"134",-0.4,-0.3,1,109.239313268056
"135",-0.4,-0.2,1,125.445189003741
"136",-0.4,-0.1,1,127.560354536037
"137",-0.4,0,1,125.005739113904
"138",-0.4,0.1,1,106.990817905316
"139",-0.4,0.2,1,70.9471199282656
"140",-0.4,0.3,1,46.9677539756461
"141",-0.4,0.4,1,37.1791076047234
"142",-0.4,0.5,1,33.470376706723
"143",-0.4,0.6,1,31.8835313290536
"144",-0.4,0.7,1,31.1882917181211
"145",-0.4,0.8,1,30.9932255502627
"146",-0.4,0.9,1,30.673766260049
"147",-0.4,1,1,30.5688950542173
"148",-0.3,-1,1,30.8001196071485
"149",-0.3,-0.9,1,31.2127871187259
"150",-0.3,-0.8,1,32.2525153424314
"151",-0.3,-0.7,1,33.5200291089088
"152",-0.3,-0.6,1,37.6962204018047
"153",-0.3,-0.5,1,48.0670288228098
"154",-0.3,-0.4,1,73.415501052513
"155",-0.3,-0.3,1,109.239313268056
"156",-0.3,-0.2,1,125.445189003741
"157",-0.3,-0.1,1,127.560354536037
"158",-0.3,0,1,125.005739113904
"159",-0.3,0.1,1,106.990817905316
"160",-0.3,0.2,1,70.9471199282656
"161",-0.3,0.3,1,46.9677539756461
"162",-0.3,0.4,1,37.1791076047234
"163",-0.3,0.5,1,33.470376706723
"164",-0.3,0.6,1,31.8835313290536
"165",-0.3,0.7,1,31.1882917181211
"166",-0.3,0.8,1,30.9932255502627
"167",-0.3,0.9,1,30.673766260049
"168",-0.3,1,1,30.5688950542173
"169",-0.2,-1,1,30.8001196071485
"170",-0.2,-0.9,1,31.2127871187259
"171",-0.2,-0.8,1,32.2525153424314
"172",-0.2,-0.7,1,33.5200291089088
"173",-0.2,-0.6,1,37.6962204018047
"174",-0.2,-0.5,1,48.0670288228098
"175",-0.2,-0.4,1,73.415501052513
"176",-0.2,-0.3,1,109.239313268056
"177",-0.2,-0.2,1,125.445189003741
"178",-0.2,-0.1,1,127.560354536037
"179",-0.2,0,1,125.005739113904
"180",-0.2,0.1,1,106.990817905316
"181",-0.2,0.2,1,70.9471199282656
"182",-0.2,0.3,1,46.9677539756461
"183",-0.2,0.4,1,37.1791076047234
"184",-0.2,0.5,1,33.470376706723
"185",-0.2,0.6,1,31.8835313290536
"186",-0.2,0.7,1,31.1882917181211
"187",-0.2,0.8,1,30.9932255502627
"188",-0.2,0.9,1,30.673766260049
"189",-0.2,1,1,30.5688950542173
"190",-0.1,-1,1,30.8001196071485
"191",-0.1,-0.9,1,31.2127871187259
"192",-0.1,-0.8,1,32.2525153424314
"193",-0.1,-0.7,1,33.5200291089088
"194",-0.1,-0.6,0.99,37.6962204018047
"195",-0.1,-0.5,0.91,48.0670288228098
"196",-0.1,-0.4,0.82,73.415501052513
"197",-0.1,-0.3,0.99,109.239313268056
"198",-0.1,-0.2,1,125.445189003741
