"","delta1","delta2","pow","ess"
"1",-1,-1,0,172.24821571986
"2",-1,-0.9,0,172.24821571986
"3",-1,-0.8,0,172.24821571986
"4",-1,-0.7,0,172.24821571986
"5",-1,-0.6,0,172.24821571986
"6",-1,-0.5,0,172.24821571986
"7",-1,-0.4,0,172.24821571986
"8",-1,-0.3,0,172.24821571986
"9",-1,-0.2,0,172.24821571986
"10",-1,-0.1,0,172.24821571986
"11",-1,0,0,172.24821571986
"12",-1,0.1,0,172.24821571986
"13",-1,0.2,0,172.24821571986
"14",-1,0.3,0,172.24821571986
"15",-1,0.4,0,172.24821571986
"16",-1,0.5,0,172.24821571986
"17",-1,0.6,0,172.24821571986
"18",-1,0.7,0,172.24821571986
"19",-1,0.8,0,172.24821571986
"20",-1,0.9,0,172.24821571986
"21",-1,1,0,172.24821571986
"22",-0.9,-1,0,172.24821571986
"23",-0.9,-0.9,0,172.24821571986
"24",-0.9,-0.8,0,172.24821571986
"25",-0.9,-0.7,0,172.24821571986
"26",-0.9,-0.6,0,172.24821571986
"27",-0.9,-0.5,0,172.24821571986
"28",-0.9,-0.4,0,172.24821571986
"29",-0.9,-0.3,0,172.24821571986
"30",-0.9,-0.2,0,172.24821571986
"31",-0.9,-0.1,0,172.24821571986
"32",-0.9,0,0,172.24821571986
"33",-0.9,0.1,0,172.24821571986
"34",-0.9,0.2,0,172.24821571986
"35",-0.9,0.3,0,172.24821571986
"36",-0.9,0.4,0,172.24821571986
"37",-0.9,0.5,0,172.24821571986
"38",-0.9,0.6,0,172.24821571986
"39",-0.9,0.7,0,172.24821571986
"40",-0.9,0.8,0,172.24821571986
"41",-0.9,0.9,0,172.24821571986
"42",-0.9,1,0,172.24821571986
"43",-0.8,-1,0,172.24821571986
"44",-0.8,-0.9,0,172.24821571986
"45",-0.8,-0.8,0,172.24821571986
"46",-0.8,-0.7,0,172.24821571986
"47",-0.8,-0.6,0,172.24821571986
"48",-0.8,-0.5,0,172.24821571986
"49",-0.8,-0.4,0,172.24821571986
"50",-0.8,-0.3,0,172.24821571986
"51",-0.8,-0.2,0,172.24821571986
"52",-0.8,-0.1,0,172.24821571986
"53",-0.8,0,0,172.24821571986
"54",-0.8,0.1,0,172.24821571986
"55",-0.8,0.2,0,172.24821571986
"56",-0.8,0.3,0,172.24821571986
"57",-0.8,0.4,0,172.24821571986
"58",-0.8,0.5,0,172.24821571986
"59",-0.8,0.6,0,172.24821571986
"60",-0.8,0.7,0,172.24821571986
"61",-0.8,0.8,0,172.24821571986
"62",-0.8,0.9,0,172.24821571986
"63",-0.8,1,0,172.24821571986
"64",-0.7,-1,0,172.24821571986
"65",-0.7,-0.9,0,172.24821571986
"66",-0.7,-0.8,0,172.24821571986
"67",-0.7,-0.7,0,172.24821571986
"68",-0.7,-0.6,0,172.24821571986
"69",-0.7,-0.5,0,172.24821571986
"70",-0.7,-0.4,0,172.24821571986
"71",-0.7,-0.3,0,172.24821571986
"72",-0.7,-0.2,0,172.24821571986
"73",-0.7,-0.1,0,172.24821571986
"74",-0.7,0,0,172.24821571986
"75",-0.7,0.1,0,172.24821571986
"76",-0.7,0.2,0,172.24821571986
"77",-0.7,0.3,0,172.24821571986
"78",-0.7,0.4,0,172.24821571986
"79",-0.7,0.5,0,172.24821571986
"80",-0.7,0.6,0,172.24821571986
"81",-0.7,0.7,0,172.24821571986
"82",-0.7,0.8,0,172.24821571986
"83",-0.7,0.9,0,172.24821571986
"84",-0.7,1,0,172.24821571986
"85",-0.6,-1,0,172.24821571986
"86",-0.6,-0.9,0,172.24821571986
"87",-0.6,-0.8,0,172.24821571986
"88",-0.6,-0.7,0,172.24821571986
"89",-0.6,-0.6,0,172.24821571986
"90",-0.6,-0.5,0,172.24821571986
"91",-0.6,-0.4,0,172.24821571986
"92",-0.6,-0.3,0,172.24821571986
"93",-0.6,-0.2,0,172.24821571986
"94",-0.6,-0.1,0,172.24821571986
"95",-0.6,0,0,172.24821571986
"96",-0.6,0.1,0,172.24821571986
"97",-0.6,0.2,0,172.24821571986
"98",-0.6,0.3,0,172.24821571986
"99",-0.6,0.4,0,172.24821571986
"100",-0.6,0.5,0,172.24821571986
