"","delta1","delta2","pow","ess"
"1",-1,-1,0,917.284626157734
"2",-1,-0.9,0,801.196263017568
"3",-1,-0.8,0,685.847049052955
"4",-1,-0.7,0,547.82970637908
"5",-1,-0.6,0,726.03635360136
"6",-1,-0.5,0,1071.60929637374
"7",-1,-0.4,0,3632.10148076872
"8",-1,-0.3,0,6218.09165364884
"9",-1,-0.2,0,9441.05854596609
"10",-1,-0.1,0,15115.841787036
"11",-1,0,0,8817.14662347747
"12",-1,0.1,0,5303.13928255385
"13",-1,0.2,0,2504.05703101343
"14",-1,0.3,0,797.454173968626
"15",-1,0.4,0,664.885650840877
"16",-1,0.5,0,608.933720120547
"17",-1,0.6,0,691.137804977431
"18",-1,0.7,0,820.93178951337
"19",-1,0.8,0,920.81620306297
"20",-1,0.9,0,1108.42960391534
"21",-1,1,0,1310.94354829211
"22",-0.9,-1,0,917.284626157734
"23",-0.9,-0.9,0,801.196263017568
"24",-0.9,-0.8,0,685.847049052955
"25",-0.9,-0.7,0,547.82970637908
"26",-0.9,-0.6,0,726.03635360136
"27",-0.9,-0.5,0,1071.60929637374
"28",-0.9,-0.4,0,3632.10148076872
"29",-0.9,-0.3,0,6218.09165364884
"30",-0.9,-0.2,0,9441.05854596609
"31",-0.9,-0.1,0,15115.841787036
"32",-0.9,0,0,8817.14662347747
"33",-0.9,0.1,0,5303.13928255385
"34",-0.9,0.2,0,2504.05703101343
"35",-0.9,0.3,0,797.454173968626
"36",-0.9,0.4,0,664.885650840877
"37",-0.9,0.5,0,608.933720120547
"38",-0.9,0.6,0,691.137804977431
"39",-0.9,0.7,0,820.93178951337
"40",-0.9,0.8,0,920.81620306297
"41",-0.9,0.9,0,1108.42960391534
"42",-0.9,1,0,1310.94354829211
"43",-0.8,-1,0,917.284626157734
"44",-0.8,-0.9,0,801.196263017568
"45",-0.8,-0.8,0,685.847049052955
"46",-0.8,-0.7,0,547.82970637908
"47",-0.8,-0.6,0,726.03635360136
"48",-0.8,-0.5,0,1071.60929637374
"49",-0.8,-0.4,0,3632.10148076872
"50",-0.8,-0.3,0,6218.09165364884
"51",-0.8,-0.2,0,9441.05854596609
"52",-0.8,-0.1,0,15115.841787036
