"","nc","delta1","delta2","pow2","pow1","ess"
"1",5,0,0,0.729898,0.02,19.8405218570754
"2",5,0,0.02,0.730531,0.03,14.3077634571515
"3",5,0,0.04,0.731347,0.04,15.1826108118333
"4",5,0,0.06,0.724905,0.06,13.8225650889329
"5",5,0,0.08,0.713117,0.07,8.94735042597509
"6",5,0,0.1,0.704684,0.07,10.6954153344747
"7",5,0,0.12,0.70075,0.04,6.67038966293592
"8",5,0,0.14,0.696269,0.02,5.73806214356354
"9",5,0,0.16,0.69453,0.01,6.03383844895767
"10",5,0,0.18,0.694416,0.01,5.43298932152624
"11",5,0,0.2,0.693775,0,5.24640124252596
"12",5,0.02,0,0.728371,0,19.8405218570754
"13",5,0.02,0.02,0.725146,0.02,14.3077634571515
"14",5,0.02,0.04,0.733387,0.01,15.1826108118333
"15",5,0.02,0.06,0.731948,0.05,13.8225650889329
"16",5,0.02,0.08,0.72312,0.05,8.94735042597509
"17",5,0.02,0.1,0.714286,0.06,10.6954153344747
"18",5,0.02,0.12,0.709387,0.03,6.67038966293592
"19",5,0.02,0.14,0.704271,0.02,5.73806214356354
"20",5,0.02,0.16,0.702152,0.01,6.03383844895767
"21",5,0.02,0.18,0.701859,0.01,5.43298932152624
"22",5,0.02,0.2,0.701078,0,5.24640124252596
"23",5,0.04,0,0.745875,0.03,19.8405218570754
"24",5,0.04,0.02,0.736122,0.03,14.3077634571515
"25",5,0.04,0.04,0.739177,0.04,15.1826108118333
"26",5,0.04,0.06,0.745083,0.05,13.8225650889329
"27",5,0.04,0.08,0.741385,0.07,8.94735042597509
"28",5,0.04,0.1,0.73249,0.08,10.6954153344747
"29",5,0.04,0.12,0.727648,0.04,6.67038966293592
"30",5,0.04,0.14,0.722337,0.05,5.73806214356354
"31",5,0.04,0.16,0.719647,0.04,6.03383844895767
"32",5,0.04,0.18,0.719278,0.04,5.43298932152624
"33",5,0.04,0.2,0.718276,0.03,5.24640124252596
"34",5,0.06,0,0.778351,0.07,19.8405218570754
"35",5,0.06,0.02,0.764313,0.05,14.3077634571515
"36",5,0.06,0.04,0.754129,0.05,15.1826108118333
"37",5,0.06,0.06,0.759451,0.06,13.8225650889329
"38",5,0.06,0.08,0.761985,0.06,8.94735042597509
"39",5,0.06,0.1,0.755101,0.08,10.6954153344747
"40",5,0.06,0.12,0.751464,0.06,6.67038966293592
"41",5,0.06,0.14,0.745705,0.06,5.73806214356354
"42",5,0.06,0.16,0.742711,0.06,6.03383844895767
"43",5,0.06,0.18,0.74206,0.06,5.43298932152624
"44",5,0.06,0.2,0.740847,0.05,5.24640124252596
"45",5,0.08,0,0.817209,0.14,19.8405218570754
"46",5,0.08,0.02,0.801687,0.1,14.3077634571515
"47",5,0.08,0.04,0.789653,0.1,15.1826108118333
"48",5,0.08,0.06,0.780467,0.09,13.8225650889329
"49",5,0.08,0.08,0.785861,0.09,8.94735042597509
"50",5,0.08,0.1,0.783619,0.1,10.6954153344747
"51",5,0.08,0.12,0.781623,0.09,6.67038966293592
"52",5,0.08,0.14,0.776348,0.1,5.73806214356354
"53",5,0.08,0.16,0.773482,0.1,6.03383844895767
"54",5,0.08,0.18,0.772418,0.09,5.43298932152624
"55",5,0.08,0.2,0.770991,0.09,5.24640124252596
"56",5,0.1,0,0.850392,0.28,19.8405218570754
"57",5,0.1,0.02,0.838071,0.18,14.3077634571515
"58",5,0.1,0.04,0.823864,0.13,15.1826108118333
"59",5,0.1,0.06,0.810269,0.11,13.8225650889329
"60",5,0.1,0.08,0.81029,0.11,8.94735042597509
"61",5,0.1,0.1,0.809899,0.11,10.6954153344747
"62",5,0.1,0.12,0.807418,0.11,6.67038966293592
"63",5,0.1,0.14,0.803255,0.11,5.73806214356354
"64",5,0.1,0.16,0.801563,0.11,6.03383844895767
"65",5,0.1,0.18,0.80064,0.11,5.43298932152624
"66",5,0.1,0.2,0.799214,0.11,5.24640124252596
"67",5,0.12,0,0.874479,0.41,19.8405218570754
"68",5,0.12,0.02,0.868765,0.28,14.3077634571515
"69",5,0.12,0.04,0.857072,0.21,15.1826108118333
"70",5,0.12,0.06,0.842984,0.17,13.8225650889329
"71",5,0.12,0.08,0.834401,0.17,8.94735042597509
"72",5,0.12,0.1,0.832785,0.17,10.6954153344747
"73",5,0.12,0.12,0.832726,0.17,6.67038966293592
"74",5,0.12,0.14,0.828741,0.17,5.73806214356354
"75",5,0.12,0.16,0.829044,0.17,6.03383844895767
"76",5,0.12,0.18,0.828252,0.17,5.43298932152624
"77",5,0.12,0.2,0.826697,0.17,5.24640124252596
"78",5,0.14,0,0.893869,0.52,19.8405218570754
"79",5,0.14,0.02,0.891886,0.39,14.3077634571515
"80",5,0.14,0.04,0.886579,0.36,15.1826108118333
"81",5,0.14,0.06,0.876393,0.28,13.8225650889329
"82",5,0.14,0.08,0.864569,0.26,8.94735042597509
"83",5,0.14,0.1,0.857417,0.25,10.6954153344747
"84",5,0.14,0.12,0.853717,0.25,6.67038966293592
"85",5,0.14,0.14,0.852842,0.25,5.73806214356354
"86",5,0.14,0.16,0.853956,0.25,6.03383844895767
"87",5,0.14,0.18,0.853632,0.25,5.43298932152624
"88",5,0.14,0.2,0.852623,0.25,5.24640124252596
"89",5,0.16,0,0.913085,0.58,19.8405218570754
"90",5,0.16,0.02,0.912695,0.48,14.3077634571515
"91",5,0.16,0.04,0.91071,0.43,15.1826108118333
"92",5,0.16,0.06,0.906127,0.38,13.8225650889329
"93",5,0.16,0.08,0.896065,0.3,8.94735042597509
"94",5,0.16,0.1,0.885141,0.31,10.6954153344747
"95",5,0.16,0.12,0.880574,0.3,6.67038966293592
"96",5,0.16,0.14,0.878409,0.3,5.73806214356354
"97",5,0.16,0.16,0.876884,0.3,6.03383844895767
"98",5,0.16,0.18,0.878123,0.3,5.43298932152624
"99",5,0.16,0.2,0.877669,0.3,5.24640124252596
"100",5,0.18,0,0.929835,0.61,19.8405218570754
"101",5,0.18,0.02,0.930264,0.54,14.3077634571515
"102",5,0.18,0.04,0.929983,0.52,15.1826108118333
"103",5,0.18,0.06,0.928353,0.47,13.8225650889329
"104",5,0.18,0.08,0.921986,0.38,8.94735042597509
"105",5,0.18,0.1,0.912156,0.34,10.6954153344747
"106",5,0.18,0.12,0.905109,0.34,6.67038966293592
"107",5,0.18,0.14,0.903081,0.33,5.73806214356354
"108",5,0.18,0.16,0.9014,0.33,6.03383844895767
"109",5,0.18,0.18,0.900059,0.33,5.43298932152624
"110",5,0.18,0.2,0.900121,0.33,5.24640124252596
"111",5,0.2,0,0.943256,0.68,19.8405218570754
"112",5,0.2,0.02,0.944031,0.6,14.3077634571515
"113",5,0.2,0.04,0.944212,0.59,15.1826108118333
"114",5,0.2,0.06,0.944384,0.57,13.8225650889329
"115",5,0.2,0.08,0.940734,0.48,8.94735042597509
"116",5,0.2,0.1,0.932925,0.46,10.6954153344747
"117",5,0.2,0.12,0.925953,0.45,6.67038966293592
"118",5,0.2,0.14,0.923012,0.43,5.73806214356354
"119",5,0.2,0.16,0.921183,0.43,6.03383844895767
"120",5,0.2,0.18,0.919693,0.43,5.43298932152624
"121",5,0.2,0.2,0.919197,0.43,5.24640124252596
"122",10,0,0,0.757384,0.13,27.3672090973492
"123",10,0,0.02,0.761641,0.15,20.9165306586362
