"","tau","pow","ess","mse"
"1",0,0,49.9925907837362,1.29043619934514e-05
"2",0.02,0,49.9927702782838,1.2798285293838e-05
"3",0.04,0,49.9932781243732,1.12394632432623e-05
"4",0.06,0,49.9940334847712,1.32949995695449e-05
"5",0.08,0,49.9949213671425,1.34231054578956e-05
"6",0.1,0,49.9958351184877,3.38907147715791e-05
"7",0.12,0,49.996689195727,1.8421775963663e-05
"8",0.14,0,49.9974275040472,4.66294071833013e-05
"9",0.16,0,49.9980252082261,1.78711991544063e-05
"10",0.18,0,49.998495213424,2.13006370256676e-05
"11",0.2,0,49.9988442282018,4.09699174763038e-05
"12",0.22,0,49.9991075321104,2.60697720606205e-05
"13",0.24,0,49.9992986084589,2.88355121869516e-05
"14",0.26,0,49.9994458701197,3.50544977776984e-05
"15",0.28,0,49.999558476868,3.75654602207721e-05
"16",0.3,0,49.9996456547943,4.94931884416309e-05
"17",0.32,0,49.9997130686748,6.56671370106797e-05
"18",0.34,0,49.9997664538377,7.49026071606704e-05
"19",0.36,0,49.9998057029667,8.31035637509429e-05
"20",0.38,0,49.9998348731943,0.000107719866193406
"21",0.4,0,49.9998546731779,0.000112398842826836
