"","nc","delta1","delta2","pow2","pow1","ess"
"1",5,0,0,0.795082,0.16,97.2719873685
"2",5,0,0.02,0.882662,0.41,98.0987540065919
"3",5,0,0.04,0.942643,0.68,97.1823429423253
"4",5,0,0.06,0.974652,0.87,97.2969567817704
"5",5,0,0.08,0.991046,0.96,96.804048552169
"6",5,0,0.1,0.997096,0.99,97.7195746386652
"7",5,0,0.12,0.999212,1,97.5147422077073
"8",5,0,0.14,0.999799,1,97.3508476546008
"9",5,0,0.16,0.999957,1,97.1701183447474
"10",5,0,0.18,0.999875,1,95.6192483302368
"11",5,0,0.2,0.99995,1,94.7712494269788
"12",5,0.02,0,0.727802,0.09,97.2719873685
"13",5,0.02,0.02,0.790723,0.15,98.0987540065919
"14",5,0.02,0.04,0.878114,0.4,97.1823429423253
"15",5,0.02,0.06,0.940451,0.68,97.2969567817704
"16",5,0.02,0.08,0.973302,0.87,96.804048552169
"17",5,0.02,0.1,0.990499,0.96,97.7195746386652
"18",5,0.02,0.12,0.996918,0.99,97.5147422077073
"19",5,0.02,0.14,0.999145,1,97.3508476546008
"20",5,0.02,0.16,0.99978,1,97.1701183447474
"21",5,0.02,0.18,0.999817,1,95.6192483302368
"22",5,0.02,0.2,0.999926,1,94.7712494269788
"23",5,0.04,0,0.745392,0.06,97.2719873685
"24",5,0.04,0.02,0.726554,0.08,98.0987540065919
"25",5,0.04,0.04,0.786614,0.15,97.1823429423253
"26",5,0.04,0.06,0.873505,0.4,97.2969567817704
"27",5,0.04,0.08,0.93801,0.68,96.804048552169
"28",5,0.04,0.1,0.971897,0.86,97.7195746386652
"29",5,0.04,0.12,0.989946,0.95,97.5147422077073
"30",5,0.04,0.14,0.996695,0.98,97.3508476546008
"31",5,0.04,0.16,0.999066,1,97.1701183447474
"32",5,0.04,0.18,0.999622,1,95.6192483302368
"33",5,0.04,0.2,0.999853,1,94.7712494269788
"34",5,0.06,0,0.818636,0.23,97.2719873685
"35",5,0.06,0.02,0.748114,0.06,98.0987540065919
"36",5,0.06,0.04,0.725786,0.08,97.1823429423253
"37",5,0.06,0.06,0.782015,0.14,97.2969567817704
"38",5,0.06,0.08,0.868601,0.39,96.804048552169
"39",5,0.06,0.1,0.935471,0.66,97.7195746386652
"40",5,0.06,0.12,0.970432,0.86,97.5147422077073
"41",5,0.06,0.14,0.989263,0.95,97.3508476546008
"42",5,0.06,0.16,0.996491,0.98,97.1701183447474
"43",5,0.06,0.18,0.998835,1,95.6192483302368
"44",5,0.06,0.2,0.999647,1,94.7712494269788
"45",5,0.08,0,0.895362,0.5,97.2719873685
"46",5,0.08,0.02,0.822362,0.26,98.0987540065919
"47",5,0.08,0.04,0.751144,0.06,97.1823429423253
"48",5,0.08,0.06,0.725378,0.07,97.2969567817704
"49",5,0.08,0.08,0.777967,0.13,96.804048552169
"50",5,0.08,0.1,0.86381,0.37,97.7195746386652
"51",5,0.08,0.12,0.932848,0.64,97.5147422077073
"52",5,0.08,0.14,0.968833,0.86,97.3508476546008
"53",5,0.08,0.16,0.988605,0.94,97.1701183447474
"54",5,0.08,0.18,0.996065,0.98,95.6192483302368
"55",5,0.08,0.2,0.998784,1,94.7712494269788
"56",5,0.1,0,0.958593,0.76,97.2719873685
"57",5,0.1,0.02,0.89927,0.5,98.0987540065919
"58",5,0.1,0.04,0.825918,0.27,97.1823429423253
"59",5,0.1,0.06,0.754065,0.06,97.2969567817704
"60",5,0.1,0.08,0.725164,0.07,96.804048552169
"61",5,0.1,0.1,0.774365,0.13,97.7195746386652
"62",5,0.1,0.12,0.858774,0.34,97.5147422077073
"63",5,0.1,0.14,0.929964,0.62,97.3508476546008
"64",5,0.1,0.16,0.967328,0.85,97.1701183447474
"65",5,0.1,0.18,0.987639,0.94,95.6192483302368
"66",5,0.1,0.2,0.995794,0.98,94.7712494269788
"67",5,0.12,0,0.986325,0.94,97.2719873685
"68",5,0.12,0.02,0.96055,0.76,98.0987540065919
"69",5,0.12,0.04,0.903235,0.51,97.1823429423253
"70",5,0.12,0.06,0.829213,0.29,97.2969567817704
"71",5,0.12,0.08,0.757359,0.08,96.804048552169
"72",5,0.12,0.1,0.72484,0.07,97.7195746386652
"73",5,0.12,0.12,0.769979,0.13,97.5147422077073
"74",5,0.12,0.14,0.853791,0.33,97.3508476546008
"75",5,0.12,0.16,0.927119,0.61,97.1701183447474
"76",5,0.12,0.18,0.96532,0.84,95.6192483302368
"77",5,0.12,0.2,0.986929,0.94,94.7712494269788
"78",5,0.14,0,0.996194,1,97.2719873685
"79",5,0.14,0.02,0.987123,0.94,98.0987540065919
"80",5,0.14,0.04,0.962356,0.77,97.1823429423253
"81",5,0.14,0.06,0.907199,0.54,97.2969567817704
"82",5,0.14,0.08,0.832537,0.29,96.804048552169
"83",5,0.14,0.1,0.760123,0.08,97.7195746386652
"84",5,0.14,0.12,0.725023,0.06,97.5147422077073
"85",5,0.14,0.14,0.766282,0.13,97.3508476546008
"86",5,0.14,0.16,0.849046,0.32,97.1701183447474
"87",5,0.14,0.18,0.92392,0.61,95.6192483302368
"88",5,0.14,0.2,0.963685,0.84,94.7712494269788
"89",5,0.16,0,0.999059,1,97.2719873685
"90",5,0.16,0.02,0.996433,1,98.0987540065919
"91",5,0.16,0.04,0.987844,0.94,97.1823429423253
"92",5,0.16,0.06,0.964205,0.78,97.2969567817704
"93",5,0.16,0.08,0.9108,0.56,96.804048552169
"94",5,0.16,0.1,0.835915,0.29,97.7195746386652
"95",5,0.16,0.12,0.763112,0.08,97.5147422077073
"96",5,0.16,0.14,0.725053,0.04,97.3508476546008
"97",5,0.16,0.16,0.762756,0.12,97.1701183447474
"98",5,0.16,0.18,0.844218,0.3,95.6192483302368
"99",5,0.16,0.2,0.921017,0.58,94.7712494269788
"100",5,0.18,0,0.999777,1,97.2719873685
"101",5,0.18,0.02,0.999113,1,98.0987540065919
"102",5,0.18,0.04,0.996659,1,97.1823429423253
"103",5,0.18,0.06,0.988509,0.94,97.2969567817704
"104",5,0.18,0.08,0.966035,0.79,96.804048552169
"105",5,0.18,0.1,0.914399,0.58,97.7195746386652
"106",5,0.18,0.12,0.839562,0.32,97.5147422077073
"107",5,0.18,0.14,0.765664,0.09,97.3508476546008
"108",5,0.18,0.16,0.725693,0.04,97.1701183447474
"109",5,0.18,0.18,0.758872,0.13,95.6192483302368
"110",5,0.18,0.2,0.839987,0.28,94.7712494269788
"111",5,0.2,0,0.999957,1,97.2719873685
"112",5,0.2,0.02,0.999787,1,98.0987540065919
"113",5,0.2,0.04,0.999175,1,97.1823429423253
"114",5,0.2,0.06,0.99685,1,97.2969567817704
"115",5,0.2,0.08,0.989107,0.94,96.804048552169
"116",5,0.2,0.1,0.967593,0.79,97.7195746386652
"117",5,0.2,0.12,0.917902,0.6,97.5147422077073
"118",5,0.2,0.14,0.843303,0.33,97.3508476546008
"119",5,0.2,0.16,0.768632,0.09,97.1701183447474
"120",5,0.2,0.18,0.725906,0.04,95.6192483302368
"121",5,0.2,0.2,0.75552,0.12,94.7712494269788
"122",10,0,0,0.798444,0.24,102.112309904202
"123",10,0,0.02,0.871874,0.41,102.380517021117
"124",10,0,0.04,0.935536,0.66,102.075726256055
"125",10,0,0.06,0.973109,0.81,102.239415252242
"126",10,0,0.08,0.990187,0.94,102.454136670376
"127",10,0,0.1,0.996805,1,102.445787644859
"128",10,0,0.12,0.999084,1,102.096719013108
"129",10,0,0.14,0.999763,1,102.111945876748
"130",10,0,0.16,0.999931,1,101.685651714713
"131",10,0,0.18,0.999979,1,102.08918642054
"132",10,0,0.2,0.999994,1,102.074758686755
"133",10,0.02,0,0.747965,0.08,102.112309904202
"134",10,0.02,0.02,0.791583,0.21,102.380517021117
"135",10,0.02,0.04,0.86481,0.4,102.075726256055
"136",10,0.02,0.06,0.930007,0.65,102.239415252242
"137",10,0.02,0.08,0.970095,0.8,102.454136670376
"138",10,0.02,0.1,0.988967,0.94,102.445787644859
"139",10,0.02,0.12,0.996376,1,102.096719013108
"140",10,0.02,0.14,0.998933,1,102.111945876748
"141",10,0.02,0.16,0.999713,1,101.685651714713
"142",10,0.02,0.18,0.999923,1,102.08918642054
"143",10,0.02,0.2,0.999975,1,102.074758686755
"144",10,0.04,0,0.751603,0.07,102.112309904202
