"","nc","delta1","delta2","pow","ess"
"1",5,0,0,0.8,49.9999999584985
"2",5,0,0.02,0.9,49.9999999890223
"3",5,0,0.04,0.9,49.9999990316953
"4",5,0,0.06,0.7,49.9999817068832
"5",5,0,0.08,0,49.9998377090098
"6",5,0,0.1,0.8,49.9990880218274
"7",5,0,0.12,0.9,49.9962196754241
"8",5,0,0.14,0.7,49.9873751408839
"9",5,0,0.16,1,49.9641032820097
"10",5,0,0.18,0.9,49.9098713507672
"11",5,0,0.2,1,49.7951124742861
"12",5,0.02,0,0,49.9999999584985
"13",5,0.02,0.02,0.8,49.9999999890223
"14",5,0.02,0.04,1,49.9999990316953
"15",5,0.02,0.06,0.9,49.9999817068832
"16",5,0.02,0.08,1,49.9998377090098
"17",5,0.02,0.1,0,49.9990880218274
"18",5,0.02,0.12,0.8,49.9962196754241
"19",5,0.02,0.14,0.9,49.9873751408839
"20",5,0.02,0.16,1,49.9641032820097
"21",5,0.02,0.18,0.8,49.9098713507672
"22",5,0.02,0.2,0.9,49.7951124742861
"23",5,0.04,0,0.8,49.9999999584985
"24",5,0.04,0.02,0.1,49.9999999890223
"25",5,0.04,0.04,0.9,49.9999990316953
"26",5,0.04,0.06,1,49.9999817068832
"27",5,0.04,0.08,0.9,49.9998377090098
"28",5,0.04,0.1,0.9,49.9990880218274
"29",5,0.04,0.12,0,49.9962196754241
"30",5,0.04,0.14,0.7,49.9873751408839
"31",5,0.04,0.16,0.7,49.9641032820097
"32",5,0.04,0.18,1,49.9098713507672
"33",5,0.04,0.2,0.8,49.7951124742861
"34",5,0.06,0,0.9,49.9999999584985
"35",5,0.06,0.02,0.9,49.9999999890223
"36",5,0.06,0.04,0,49.9999990316953
"37",5,0.06,0.06,0.6,49.9999817068832
"38",5,0.06,0.08,1,49.9998377090098
"39",5,0.06,0.1,0.9,49.9990880218274
"40",5,0.06,0.12,1,49.9962196754241
"41",5,0.06,0.14,0.2,49.9873751408839
"42",5,0.06,0.16,0.3,49.9641032820097
"43",5,0.06,0.18,0.9,49.9098713507672
"44",5,0.06,0.2,1,49.7951124742861
"45",5,0.08,0,1,49.9999999584985
"46",5,0.08,0.02,1,49.9999999890223
"47",5,0.08,0.04,0.9,49.9999990316953
"48",5,0.08,0.06,0.1,49.9999817068832
"49",5,0.08,0.08,0.6,49.9998377090098
"50",5,0.08,0.1,1,49.9990880218274
"51",5,0.08,0.12,1,49.9962196754241
"52",5,0.08,0.14,1,49.9873751408839
"53",5,0.08,0.16,0.4,49.9641032820097
"54",5,0.08,0.18,0.1,49.9098713507672
"55",5,0.08,0.2,1,49.7951124742861
"56",5,0.1,0,1,49.9999999584985
"57",5,0.1,0.02,0.9,49.9999999890223
"58",5,0.1,0.04,0.9,49.9999990316953
"59",5,0.1,0.06,0.9,49.9999817068832
"60",5,0.1,0.08,0.1,49.9998377090098
"61",5,0.1,0.1,0.5,49.9990880218274
"62",5,0.1,0.12,1,49.9962196754241
"63",5,0.1,0.14,0.9,49.9873751408839
"64",5,0.1,0.16,0.8,49.9641032820097
"65",5,0.1,0.18,0.3,49.9098713507672
"66",5,0.1,0.2,0,49.7951124742861
"67",5,0.12,0,1,49.9999999584985
"68",5,0.12,0.02,1,49.9999999890223
"69",5,0.12,0.04,1,49.9999990316953
"70",5,0.12,0.06,1,49.9999817068832
"71",5,0.12,0.08,1,49.9998377090098
"72",5,0.12,0.1,0.2,49.9990880218274
"73",5,0.12,0.12,0.2,49.9962196754241
"74",5,0.12,0.14,1,49.9873751408839
"75",5,0.12,0.16,1,49.9641032820097
"76",5,0.12,0.18,1,49.9098713507672
"77",5,0.12,0.2,0.4,49.7951124742861
"78",5,0.14,0,1,49.9999999584985
"79",5,0.14,0.02,1,49.9999999890223
"80",5,0.14,0.04,0.9,49.9999990316953
"81",5,0.14,0.06,1,49.9999817068832
"82",5,0.14,0.08,1,49.9998377090098
"83",5,0.14,0.1,1,49.9990880218274
"84",5,0.14,0.12,0.3,49.9962196754241
"85",5,0.14,0.14,0.2,49.9873751408839
"86",5,0.14,0.16,0.9,49.9641032820097
"87",5,0.14,0.18,1,49.9098713507672
"88",5,0.14,0.2,1,49.7951124742861
"89",5,0.16,0,1,49.9999999584985
"90",5,0.16,0.02,1,49.9999999890223
"91",5,0.16,0.04,1,49.9999990316953
"92",5,0.16,0.06,1,49.9999817068832
"93",5,0.16,0.08,1,49.9998377090098
"94",5,0.16,0.1,1,49.9990880218274
"95",5,0.16,0.12,1,49.9962196754241
"96",5,0.16,0.14,0.5,49.9873751408839
"97",5,0.16,0.16,0,49.9641032820097
"98",5,0.16,0.18,1,49.9098713507672
"99",5,0.16,0.2,0.7,49.7951124742861
"100",5,0.18,0,1,49.9999999584985
"101",5,0.18,0.02,1,49.9999999890223
"102",5,0.18,0.04,1,49.9999990316953
"103",5,0.18,0.06,1,49.9999817068832
"104",5,0.18,0.08,1,49.9998377090098
"105",5,0.18,0.1,1,49.9990880218274
"106",5,0.18,0.12,0.9,49.9962196754241
"107",5,0.18,0.14,1,49.9873751408839
"108",5,0.18,0.16,0.7,49.9641032820097
"109",5,0.18,0.18,0.1,49.9098713507672
"110",5,0.18,0.2,0.9,49.7951124742861
"111",5,0.2,0,1,49.9999999584985
"112",5,0.2,0.02,1,49.9999999890223
"113",5,0.2,0.04,1,49.9999990316953
"114",5,0.2,0.06,1,49.9999817068832
"115",5,0.2,0.08,1,49.9998377090098
"116",5,0.2,0.1,1,49.9990880218274
"117",5,0.2,0.12,1,49.9962196754241
"118",5,0.2,0.14,1,49.9873751408839
"119",5,0.2,0.16,0.9,49.9641032820097
"120",5,0.2,0.18,0.7,49.9098713507672
"121",5,0.2,0.2,0.1,49.7951124742861
"122",10,0,0,1,49.9999957573528
"123",10,0,0.02,1,49.9999983347234
"124",10,0,0.04,1,49.9998829098951
"125",10,0,0.06,0.9,49.9985224054453
"126",10,0,0.08,0,49.9912130676034
"127",10,0,0.1,0.3,49.965578661786
"128",10,0,0.12,0.8,49.8963617262153
"129",10,0,0.14,0.9,49.7396104368422
"130",10,0,0.16,1,49.4272354673579
"131",10,0,0.18,1,48.8638926780473
"132",10,0,0.2,1,47.9295359507794
"133",10,0.02,0,0,49.9999957573528
"134",10,0.02,0.02,0.9,49.9999983347234
"135",10,0.02,0.04,0.8,49.9998829098951
"136",10,0.02,0.06,0.9,49.9985224054453
"137",10,0.02,0.08,1,49.9912130676034
"138",10,0.02,0.1,0.2,49.965578661786
"139",10,0.02,0.12,0,49.8963617262153
"140",10,0.02,0.14,1,49.7396104368422
"141",10,0.02,0.16,0.9,49.4272354673579
"142",10,0.02,0.18,0.8,48.8638926780473
"143",10,0.02,0.2,1,47.9295359507794
"144",10,0.04,0,0.7,49.9999957573528
"145",10,0.04,0.02,0,49.9999983347234
"146",10,0.04,0.04,0.8,49.9998829098951
"147",10,0.04,0.06,1,49.9985224054453
"148",10,0.04,0.08,1,49.9912130676034
"149",10,0.04,0.1,1,49.965578661786
"150",10,0.04,0.12,0.6,49.8963617262153
"151",10,0.04,0.14,0,49.7396104368422
"152",10,0.04,0.16,0.8,49.4272354673579
"153",10,0.04,0.18,1,48.8638926780473
"154",10,0.04,0.2,1,47.9295359507794
"155",10,0.06,0,0.9,49.9999957573528
"156",10,0.06,0.02,0.9,49.9999983347234
"157",10,0.06,0.04,0.1,49.9998829098951
"158",10,0.06,0.06,0.3,49.9985224054453
"159",10,0.06,0.08,0.9,49.9912130676034
"160",10,0.06,0.1,1,49.965578661786
"161",10,0.06,0.12,1,49.8963617262153
"162",10,0.06,0.14,0.9,49.7396104368422
"163",10,0.06,0.16,0,49.4272354673579
"164",10,0.06,0.18,0.6,48.8638926780473
"165",10,0.06,0.2,1,47.9295359507794
"166",10,0.08,0,1,49.9999957573528
"167",10,0.08,0.02,1,49.9999983347234
"168",10,0.08,0.04,1,49.9998829098951
"169",10,0.08,0.06,0.1,49.9985224054453
"170",10,0.08,0.08,0.2,49.9912130676034
"171",10,0.08,0.1,0.9,49.965578661786
"172",10,0.08,0.12,1,49.8963617262153
"173",10,0.08,0.14,1,49.7396104368422
"174",10,0.08,0.16,0.9,49.4272354673579
"175",10,0.08,0.18,0,48.8638926780473
"176",10,0.08,0.2,0.2,47.9295359507794
"177",10,0.1,0,1,49.9999957573528
"178",10,0.1,0.02,1,49.9999983347234
"179",10,0.1,0.04,1,49.9998829098951
"180",10,0.1,0.06,0.9,49.9985224054453
"181",10,0.1,0.08,0.4,49.9912130676034
"182",10,0.1,0.1,0.1,49.965578661786
"183",10,0.1,0.12,1,49.8963617262153
