"","delta1","delta2","pow","ess"
"1",-1,-1,1,30.5734561105835
"2",-1,-0.9,1,30.96608934177
"3",-1,-0.8,1,31.7408909215937
"4",-1,-0.7,1,33.4125532609386
"5",-1,-0.6,1,37.4106376338882
"6",-1,-0.5,1,47.8527120461125
"7",-1,-0.4,1,73.4677143653159
"8",-1,-0.3,1,110.237066819174
"9",-1,-0.2,1,126.679119684383
"10",-1,-0.1,1,127.990023868844
"11",-1,0,1,126.295738098516
"12",-1,0.1,1,107.954054899822
"13",-1,0.2,1,71.0255566627902
"14",-1,0.3,1,46.7699164368791
"15",-1,0.4,1,37.0066538578488
"16",-1,0.5,1,33.2508011842978
"17",-1,0.6,1,31.6688479443773
"18",-1,0.7,1,30.9307804180385
"19",-1,0.8,1,30.5547266090539
"20",-1,0.9,1,30.3487585555923
"21",-1,1,1,30.2290653994711
"22",-0.9,-1,1,30.5734561105835
"23",-0.9,-0.9,1,30.96608934177
"24",-0.9,-0.8,1,31.7408909215937
"25",-0.9,-0.7,1,33.4125532609386
"26",-0.9,-0.6,1,37.4106376338882
"27",-0.9,-0.5,1,47.8527120461125
"28",-0.9,-0.4,1,73.4677143653159
"29",-0.9,-0.3,1,110.237066819174
"30",-0.9,-0.2,1,126.679119684383
"31",-0.9,-0.1,1,127.990023868844
"32",-0.9,0,1,126.295738098516
"33",-0.9,0.1,1,107.954054899822
"34",-0.9,0.2,1,71.0255566627902
"35",-0.9,0.3,1,46.7699164368791
"36",-0.9,0.4,1,37.0066538578488
"37",-0.9,0.5,1,33.2508011842978
"38",-0.9,0.6,1,31.6688479443773
"39",-0.9,0.7,1,30.9307804180385
"40",-0.9,0.8,1,30.5547266090539
"41",-0.9,0.9,1,30.3487585555923
"42",-0.9,1,1,30.2290653994711
"43",-0.8,-1,1,30.5734561105835
"44",-0.8,-0.9,1,30.96608934177
"45",-0.8,-0.8,1,31.7408909215937
"46",-0.8,-0.7,1,33.4125532609386
"47",-0.8,-0.6,1,37.4106376338882
"48",-0.8,-0.5,1,47.8527120461125
"49",-0.8,-0.4,1,73.4677143653159
"50",-0.8,-0.3,1,110.237066819174
"51",-0.8,-0.2,1,126.679119684383
"52",-0.8,-0.1,1,127.990023868844
"53",-0.8,0,1,126.295738098516
"54",-0.8,0.1,1,107.954054899822
"55",-0.8,0.2,1,71.0255566627902
"56",-0.8,0.3,1,46.7699164368791
"57",-0.8,0.4,1,37.0066538578488
"58",-0.8,0.5,1,33.2508011842978
"59",-0.8,0.6,1,31.6688479443773
"60",-0.8,0.7,1,30.9307804180385
"61",-0.8,0.8,1,30.5547266090539
"62",-0.8,0.9,1,30.3487585555923
"63",-0.8,1,1,30.2290653994711
"64",-0.7,-1,1,30.5734561105835
"65",-0.7,-0.9,1,30.96608934177
"66",-0.7,-0.8,1,31.7408909215937
"67",-0.7,-0.7,1,33.4125532609386
"68",-0.7,-0.6,1,37.4106376338882
"69",-0.7,-0.5,1,47.8527120461125
"70",-0.7,-0.4,1,73.4677143653159
"71",-0.7,-0.3,1,110.237066819174
"72",-0.7,-0.2,1,126.679119684383
"73",-0.7,-0.1,1,127.990023868844
"74",-0.7,0,1,126.295738098516
"75",-0.7,0.1,1,107.954054899822
"76",-0.7,0.2,1,71.0255566627902
"77",-0.7,0.3,1,46.7699164368791
"78",-0.7,0.4,1,37.0066538578488
"79",-0.7,0.5,1,33.2508011842978
"80",-0.7,0.6,1,31.6688479443773
"81",-0.7,0.7,1,30.9307804180385
"82",-0.7,0.8,1,30.5547266090539
"83",-0.7,0.9,1,30.3487585555923
"84",-0.7,1,1,30.2290653994711
"85",-0.6,-1,1,30.5734561105835
"86",-0.6,-0.9,1,30.96608934177
"87",-0.6,-0.8,1,31.7408909215937
"88",-0.6,-0.7,1,33.4125532609386
"89",-0.6,-0.6,1,37.4106376338882
"90",-0.6,-0.5,1,47.8527120461125
"91",-0.6,-0.4,1,73.4677143653159
"92",-0.6,-0.3,1,110.237066819174
"93",-0.6,-0.2,1,126.679119684383
"94",-0.6,-0.1,1,127.990023868844
"95",-0.6,0,1,126.295738098516
"96",-0.6,0.1,1,107.954054899822
"97",-0.6,0.2,1,71.0255566627902
"98",-0.6,0.3,1,46.7699164368791
"99",-0.6,0.4,1,37.0066538578488
"100",-0.6,0.5,1,33.2508011842978
"101",-0.6,0.6,1,31.6688479443773
"102",-0.6,0.7,1,30.9307804180385
"103",-0.6,0.8,1,30.5547266090539
"104",-0.6,0.9,1,30.3487585555923
"105",-0.6,1,1,30.2290653994711
"106",-0.5,-1,1,30.5734561105835
"107",-0.5,-0.9,1,30.96608934177
